
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 414, Time: 2.52686, Systemstep: 0.00610352

Begin Step 415, Time: 2.53296, Systemstep: 0.00610352

Begin Step 416, Time: 2.53906, Systemstep: 0.00610352

Begin Step 417, Time: 2.54517, Systemstep: 0.00610352

Begin Step 418, Time: 2.55127, Systemstep: 0.00584088

Begin Step 419, Time: 2.55737, Systemstep: 0.00610352

Begin Step 420, Time: 2.56348, Systemstep: 0.00610352

Begin Step 421, Time: 2.56958, Systemstep: 0.00610352

Begin Step 422, Time: 2.57568, Systemstep: 0.00610352

Begin Step 423, Time: 2.58179, Systemstep: 0.00610352

Begin Step 424, Time: 2.58789, Systemstep: 3.7998e-05

Begin Step 425, Time: 2.59399, Systemstep: 0.00610352

Begin Step 426, Time: 2.6001, Systemstep: 0.00610352

Begin Step 427, Time: 2.6062, Systemstep: 0.00610352

Begin Step 428, Time: 2.6123, Systemstep: 0.00610352

Begin Step 429, Time: 2.61841, Systemstep: 0.00610352

Begin Step 430, Time: 2.62451, Systemstep: 0.00610352

Begin Step 431, Time: 2.63062, Systemstep: 0.000338629

Begin Step 432, Time: 2.63672, Systemstep: 0.00610352

Begin Step 433, Time: 2.64282, Systemstep: 0.00610352

Begin Step 434, Time: 2.64893, Systemstep: 0.00610352

Begin Step 435, Time: 2.65503, Systemstep: 0.00610352

Begin Step 436, Time: 2.66113, Systemstep: 0.00610352

Begin Step 437, Time: 2.66724, Systemstep: 0.00610352

Begin Step 438, Time: 2.67334, Systemstep: 0.000639632

Begin Step 439, Time: 2.67944, Systemstep: 0.00610352

Begin Step 440, Time: 2.68555, Systemstep: 0.00610352

Begin Step 441, Time: 2.69165, Systemstep: 0.00610352

Begin Step 442, Time: 2.69775, Systemstep: 0.00610352

Begin Step 443, Time: 2.70386, Systemstep: 0.00610352

Begin Step 444, Time: 2.70996, Systemstep: 0.00610352

Begin Step 445, Time: 2.71606, Systemstep: 0.000940263

Begin Step 446, Time: 2.72217, Systemstep: 0.00610352

Begin Step 447, Time: 2.72827, Systemstep: 0.00610352

